title,ger_url,grr_url,ger_confidence,grr_confidence,ger_source,grr_source,ger_gpc_id,grr_gpc_id
Diagnóstico de apendicitis aguda,http://cenetec-difusion.com/CMGPC/IMSS-031-08/ER.pdf,http://cenetec-difusion.com/CMGPC/IMSS-031-08/RR.pdf,95.0,100.0,Inferred_From_Pair,CENETEC_Priority,IMSS-031-08,IMSS-031-08
Tratamiento de apendicitis aguda,https://www.cenetec-difusion.com/CMGPC/IMSS-049-08/ER.pdf,https://www.cenetec-difusion.com/CMGPC/IMSS-049-08/RR.pdf,95.0,99.82182025909425,Inferred_From_Pair,Google+OCR+AI,IMSS-049-08,IMSS-049-08
Diagnóstico y tratamiento de la colecistitis y colelitiasis,https://www.cenetec-difusion.com/CMGPC/IMSS-237-09/ER.pdf,https://www.cenetec-difusion.com/CMGPC/IMSS-237-09/RR.pdf,95.0,99.83858585357666,Inferred_From_Pair,Google+OCR+AI,IMSS-237-09,IMSS-237-09
Enfermedad diverticular del colon,https://www.cenetec-difusion.com/CMGPC/SS-212-09/ER.pdf,https://www.cenetec-difusion.com/CMGPC/SS-212-09/RR.pdf,95.0,100.00000953674318,Inferred_From_Pair,Google+OCR+AI,SS-212-09,SS-212-09
Diagnóstico y tratamiento de la enfermedad por reflujo gastroesofágico en el adulto,http://www.cenetec-difusion.com/CMGPC/SS-012-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/SS-012-08/RR.pdf,95.0,100.0,Inferred_From_Pair,CENETEC_Priority,SS-012-08,SS-012-08
Diagnóstico y tratamiento de la dispepsia funcional,http://www.cenetec-difusion.com/CMGPC/IMSS-071-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-071-08/RR.pdf,95.0,100.0,Inferred_From_Pair,CENETEC_Priority,IMSS-071-08,IMSS-071-08
Diagnóstico y tratamiento del adenocarcinoma gástrico en pacientes adultos,http://www.cenetec-difusion.com/CMGPC/IMSS-167-09/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-167-09/RR.pdf,95.0,100.0,Inferred_From_Pair,CENETEC_Priority,IMSS-167-09,IMSS-167-09
Diagnóstico y tratamiento de úlcera péptica complicada en el adulto,http://www.cenetec-difusion.com/CMGPC/ISSSTE-549-12/ER.pdf,http://www.cenetec-difusion.com/CMGPC/ISSSTE-549-12/RR.pdf,95.0,94.34095382690431,Inferred_From_Pair,Google+OCR+AI,ISSSTE-549-12,ISSSTE-549-12
Diagnóstico y tratamiento del sobrepeso y la obesidad exógena,http://www.cenetec-difusion.com/CMGPC/IMSS-690-13/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-690-13/RR.pdf,95.0,81.19819641113281,Inferred_From_Pair,Google+OCR+AI,IMSS-690-13,IMSS-690-13
Tratamiento quirúrgico de la diabetes mellitus tipo 2 en adultos con IMC de 30 a 34.9,http://cenetec-difusion.com/CMGPC/SS-353-16/ER.pdf,http://cenetec-difusion.com/CMGPC/SS-353-16/RR.pdf,95.0,97.88413047790527,Inferred_From_Pair,CENETEC_Priority,SS-353-16,SS-353-16
Tratamiento quirúrgico de la obesidad mórbida en la población adolescente,http://www.cenetec-difusion.com/CMGPC/IMSS-050-08/ER.pdf,http://www.cenetec-difusion.com/CMGPC/IMSS-050-08/RR.pdf,95.0,99.99999046325685,Inferred_From_Pair,CENETEC_Priority,IMSS-050-08,IMSS-050-08
Tratamiento quirúrgico de la obesidad en el adulto,https://www.imss.gob.mx/sites/all/statics/guiasclinicas/051GER.pdf,https://www.imss.gob.mx/sites/all/statics/guiasclinicas/051GRR.pdf,95.0,100.00000953674318,Inferred_From_Pair,Google+OCR+AI,051,051
Diagnóstico y tratamiento de la enfermedad hemorroidal en la adultez,https://www.cenetec-difusion.com/CMGPC/SS-208-09/ER.pdf,https://www.cenetec-difusion.com/CMGPC/SS-208-09/RR.pdf,95.0,100.0,Inferred_From_Pair,Google+OCR+AI,SS-208-09,SS-208-09
